event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007on,54442.8613,17.809,0.083,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54443.22231,15.689,0.008,F,B,,,2010AJ....139..519C
SN2007on,54443.22231,14.684,0.006,F,V,,,2010AJ....139..519C
SN2007on,54443.22231,15.259,0.005,F,g,,,2010AJ....139..519C
SN2007on,54443.22231,14.393,0.009,F,i,,,2010AJ....139..519C
SN2007on,54443.22231,14.393,0.005,F,r,,,2010AJ....139..519C
SN2007on,54443.22231,16.756,0.016,F,u,,,2010AJ....139..519C
SN2007on,54444.28089,14.014,0.007,F,H,,,2010AJ....139..519C
SN2007on,54444.28089,14.717,0.017,F,J,,,2010AJ....139..519C
SN2007on,54444.28089,13.552,0.004,F,Y,,,2010AJ....139..519C
SN2007on,54445.22330,15.780,0.008,F,B,,,2010AJ....139..519C
SN2007on,54445.22330,14.806,0.007,F,V,,,2010AJ....139..519C
SN2007on,54445.22330,15.364,0.005,F,g,,,2010AJ....139..519C
SN2007on,54445.22330,14.541,0.009,F,i,,,2010AJ....139..519C
SN2007on,54445.22330,14.528,0.006,F,r,,,2010AJ....139..519C
SN2007on,54445.22330,16.853,0.015,F,u,,,2010AJ....139..519C
SN2007on,54446.1537,16.973,0.074,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54446.1558,16.128,0.065,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54446.1572,15.796,0.053,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54446.1602,18.023,0.088,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54446.1639,14.858,0.057,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54446.1662,17.957,0.092,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54446.17706,14.169,0.008,F,H,,,2010AJ....139..519C
SN2007on,54446.17706,14.926,0.009,F,J,,,2010AJ....139..519C
SN2007on,54446.17706,13.727,0.030,F,Y,,,2010AJ....139..519C
SN2007on,54447.14920,15.871,0.009,F,B,,,2010AJ....139..519C
SN2007on,54447.14920,14.910,0.008,F,V,,,2010AJ....139..519C
SN2007on,54447.14920,15.439,0.008,F,g,,,2010AJ....139..519C
SN2007on,54447.14920,14.683,0.011,F,i,,,2010AJ....139..519C
SN2007on,54447.14920,14.650,0.008,F,r,,,2010AJ....139..519C
SN2007on,54447.14920,16.933,0.028,F,u,,,2010AJ....139..519C
SN2007on,54448.15290,14.293,0.013,F,H,,,2010AJ....139..519C
SN2007on,54448.15290,15.134,0.007,F,J,,,2010AJ....139..519C
SN2007on,54448.15290,13.823,0.006,F,Y,,,2010AJ....139..519C
SN2007on,54449.19361,15.949,0.009,F,B,,,2010AJ....139..519C
SN2007on,54449.19361,14.996,0.010,F,V,,,2010AJ....139..519C
SN2007on,54449.19361,15.534,0.008,F,g,,,2010AJ....139..519C
SN2007on,54449.19361,14.809,0.011,F,i,,,2010AJ....139..519C
SN2007on,54449.19361,14.769,0.008,F,r,,,2010AJ....139..519C
SN2007on,54449.19361,17.063,0.029,F,u,,,2010AJ....139..519C
SN2007on,54450.1123,17.072,0.073,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54450.1145,16.281,0.066,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54450.1159,15.996,0.058,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54450.1193,18.101,0.088,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54450.1229,15.036,0.058,F,V,UVOT,Swift,2014Ap&SS.354...89B
