Name,Band,Background,Background Error,Systematic Error
SDSS-II SN 12941,FUV,-2.6108619961723874e-18,5.0046072063022614e-18,-1.8276033973206713e-19
SDSS-II SN 12941,NUV,1.3819834893372239e-17,1.0918202703533604e-17,9.67388442536057e-19
SDSS-II SN 12974,FUV,1.3406569764519185e-17,1.5394526080614333e-17,9.38459883516343e-19
SDSS-II SN 12974,NUV,7.395117076322389e-18,2.3380943200113653e-18,1.0072440515869617e-18
SDSS-II SN 12978,FUV,1.885292588773832e-17,1.7700143349798948e-17,1.3197048121416825e-18
SDSS-II SN 12978,NUV,6.366081141809515e-18,8.88682255635991e-18,4.456256799266661e-19
SDSS-II SN 1302,FUV,-1.2411071429450694e-17,2.9064967184154185e-17,-8.687750000615487e-19
SDSS-II SN 1302,NUV,6.455573118362661e-17,1.5523760182836232e-17,4.5189011828538635e-18
SDSS-II SN 13101,FUV,-7.805522641869495e-18,4.991012579698928e-18,-5.463865849308647e-19
SDSS-II SN 13101,NUV,-7.745785525480797e-19,1.1767894097586983e-17,4.373634957324834e-18
SDSS-II SN 13108,FUV,2.1158400590148815e-17,1.749976977388363e-17,1.4810880413104172e-18
SDSS-II SN 13108,NUV,3.441084170327869e-17,7.170170463506933e-18,2.4087589192295086e-18
SDSS-II SN 13147,FUV,1.134101261181132e-17,5.1993347625861095e-18,7.938708828267924e-19
SDSS-II SN 13147,NUV,1.0896180243431896e-17,1.0842687039338406e-17,7.627326170402328e-19
SDSS-II SN 13168,FUV,2.2634537239455188e-18,9.935701244391516e-18,1.5844176067618633e-19
SDSS-II SN 13168,NUV,2.373444307189656e-17,1.1071673813005812e-17,1.6614110150327592e-18
SDSS-II SN 13177,FUV,7.771499231912322e-18,3.2744198640394253e-17,1.3781012338250273e-17
SDSS-II SN 13177,NUV,1.8760152562279258e-17,1.2478472065502015e-17,1.3132106793595482e-18
SDSS-II SN 13333,FUV,2.967216874721636e-17,3.2697066794130785e-17,8.106284971540984e-18
SDSS-II SN 13333,NUV,2.589967379186603e-17,1.6445822440043937e-18,1.1092289143054588e-18
SDSS-II SN 13378,FUV,-3.125975836759822e-19,5.0943777988124734e-18,-2.1881830857318755e-20
SDSS-II SN 13378,NUV,9.142109521340342e-18,1.2008680551092593e-17,4.0875871178253055e-18
SDSS-II SN 13393,FUV,2.8137216608742204e-18,3.1055667906785786e-17,5.876151785051154e-18
SDSS-II SN 13393,NUV,9.294262009772264e-18,2.6252587512795892e-17,6.101155772684793e-18
SDSS-II SN 13411,FUV,2.6900327010305355e-17,4.716085813110485e-17,1.7248708039451244e-17
SDSS-II SN 13411,NUV,2.2277208015413362e-17,2.920425623891096e-17,1.062203914651618e-17
SDSS-II SN 1342,FUV,9.544168270703013e-18,3.5176175004050287e-17,1.7281176533418792e-17
SDSS-II SN 1342,NUV,6.125469399186652e-18,1.5983036306717446e-17,6.444239619985931e-18
SDSS-II SN 13452,FUV,9.152647553232818e-19,1.661984236762902e-17,6.406853287262973e-20
SDSS-II SN 13452,NUV,1.817016549527704e-17,1.0919488557970882e-17,1.2719115846693929e-18
SDSS-II SN 13458,FUV,1.0565985228216731e-17,3.111468255124495e-17,7.396189659751713e-19
SDSS-II SN 13458,NUV,7.285227118671165e-18,1.519792564838112e-17,5.099658983069816e-19
SDSS-II SN 13465,FUV,2.6196210352944403e-17,2.4151938737456804e-17,1.5940044805917378e-17
SDSS-II SN 13465,NUV,8.571242162594439e-18,1.0719608697991266e-17,5.999869513816108e-19
SDSS-II SN 13476,FUV,2.6871609566289528e-17,2.392918983775569e-17,1.881012669640267e-18
SDSS-II SN 13476,NUV,1.8331910640130693e-17,9.447342766084396e-18,1.2832337448091486e-18
SDSS-II SN 13479,FUV,1.632063962657959e-17,7.033919119840938e-18,1.0664553034378685e-18
SDSS-II SN 13479,NUV,2.2637165758885783e-18,2.5508412143307993e-18,6.635386503562423e-19
SDSS-II SN 13497,FUV,-6.005472191981701e-20,3.5723336729995505e-18,-4.203830534387191e-21
SDSS-II SN 13497,NUV,3.830382635737138e-19,1.5757803220163715e-17,3.969200898884199e-18
SDSS-II SN 13507,FUV,1.0065393231217936e-17,4.668812508841132e-18,7.045775261852556e-19
SDSS-II SN 13507,NUV,1.893414982183123e-17,1.7821991860014e-17,3.381551467313791e-18
SDSS-II SN 13520,FUV,7.788912972081047e-17,2.811779419277077e-17,5.452239080456733e-18
