name,objname,ra,dec,z,z_err,v_helio,v_helio_err,h_dist,h_dist_err,z_indep_dist,type,morph,a_v,a_k,posn_ref,z_ref,sep,offset,host,galex_ra,galex_dec,morph_ref
PS1-1000008,PS1-10h,02h24m15.9449s,-03d11m11.530s,0.25,0.01,74948.125,2997.925,1067.21,86.11,2.0,SN,,0.076,0.008,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.007791648468253479,,2h24m15.945s,-3d11m11.53s,
PS1-1000009,PS1-10i,02h20m22.9591s,-04d40m21.029s,0.15,0.001,44968.875,299.7925,638.89,44.93,2.0,SN,,0.06,0.006999999999999999,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.005618637546820429,,2h20m22.959s,-4d40m21.03s,
PS1-1000790,SDSS J213328.65+102038.1,21h33m28.658s,+10d20m38.11s,,,,,,,,G,,0.146,0.016,2007SDSS6.C...0000:,,0.032,,,21h33m28.573s,10d20m39.54s,
PS1-10acx,PS1-10acx,16h05m54.0890s,+55d11m52.300s,0.35,0.001,104927.375,299.7925,1499.29,105.04,2.0,SN,,0.019,0.002,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.0,,16h05m54.089s,55d11m52.3s,
PS1-10bls,PS1-10bls,03h32m16.1160s,-27d11m39.509s,0.276,0.001,82742.73,299.7925,1180.36,82.74,2.0,SN,,0.02,0.002,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.005734653217625892,,3h32m16.116s,-27d11m39.51s,
PS1-10byr,PS1-10byr,22h17m50.8010s,+01d02m33.799s,0.24,0.01,71950.2,2997.925,1022.73,83.42,1.0,SN,,0.18899999999999997,0.021,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.004986655003737686,,22h17m50.801s,1d02m33.8s,
PS1-10byw,WISEA J221528.12+013257.6,22h15m28.129s,+01d32m57.62s,,,,,,,,IrS,,0.114,0.013000000000000001,2013wise.rept....1C,,0.017,,,22h15m28.07s,1d32m58.15s,
PS1-10ia,PS1-10ia,14h11m31.0579s,+53d34m46.481s,0.409,0.001,122615.1325,299.7925,1753.34,122.81,2.0,SN,,0.035,0.004,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.01532015140201282,,14h11m31.058s,53d34m46.48s,
PS1-10if,PS1-10if,10h00m21.1961s,+01d25m05.250s,0.15,0.001,44968.875,299.7925,647.4,45.52,1.0,SN,,0.055999999999999994,0.006,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.0046749891556921285,,10h00m21.196s,1d25m05.25s,
PS1-10im,PS1-10im,10h50m05.8809s,+58d46m38.708s,0.51,0.001,152894.175,299.7925,2186.37,153.11,2.0,SN,,0.024,0.003,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.026491604781897188,,10h50m05.881s,58d46m38.71s,
