Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray,NUVexpt,FUVexpt
SNF20080717-000,2008/07/17,19.2,,00:06:54.28,+24:59:52.5,0.05985,Ia,1.0,,,,3818.0,274.0
SNF20080809-006,2008/08/09,19.2,,23:03:43.18,-14:21:58.5,0.07612,Ia,1.0,,,,321.0,321.0
SNF20080911-012,2008/09/11,19.2,,01:58:48.47,-17:10:04.3,0.104,Ia,1.0,,,,227.0,227.0
SNF20080919-002,2008/09/19,19.2,,02:25:21.21,-08:38:59.4,0.05564,Ia,1.0,,,,1843.0,1843.0
CSS120917:164704+231612,2012/09/17,19.2,,16:47:03.95,+23:16:11.6,0.12,Ia,1.0,,,,388.0,157.0
CSS130519:151011+230449,2013/05/19,19.2,,15:10:10.75,+23:04:48.5,0.13,Ia,1.0,,,,94.0,94.0
iPTF13dyu,2013/11/04,19.2,,03:09:26.96,+41:11:34.8,0.052,Ia,1.0,1.0,,,0.0,0.0
iPTF14axv,2014/05/12,19.2,,18:01:51.29,+67:02:27.4,0.09,Ia,1.0,1.0,,,2730.0,2730.0
iPTF14evz,2014/09/10,19.2,,20:46:10.03,+00:23:02.3,0.078,Ia,1.0,1.0,,,107.0,0.0
iPTF14flt,2014/09/15,19.2,,00:57:19.79,+09:45:26.4,0.06,Ia,1.0,1.0,,,216.0,216.0
LSQ12bnt,2012/04/01,19.2,,"12:51:32.230,12:51:32.23",+04:01:25.68,0.129,Ia,1.0,1.0,,,1748.0,0.0
LSQ12ezs,2012/09/05,19.2,,20:42:13.82,-21:39:41.6,0.11,Ia,1.0,1.0,,,312.0,312.0
LSQ12hjq,2012/12/09,19.2,,"02:28:39.00,02:28:39.0",-11:38:21.5,0.162,Ia,1.0,1.0,,,0.0,0.0
LSQ13bjj,2013/08/04,19.2,,02:12:05.18,-25:44:40.2,0.056,Ia,1.0,,,,113.0,113.0
LSQ13bud,2013/08/16,19.2,,22:05:29.52,-28:45:09.5,0.1,Ia,1.0,1.0,,,186.0,0.0
LSQ14dxa,2014/07/24,19.2,,22:08:39.89,-56:09:24.9,0.041,Ia,1.0,1.0,,,117.0,0.0
LSQ14fvy,2014/10/11,19.2,,05:29:06.07,-35:11:38.2,0.057,Ia,1.0,1.0,,,154.0,154.0
LSQ14fyc,2014/10/17,19.2,,23:47:40.16,-13:58:54.9,0.082,Ia,1.0,1.0,,,181.0,181.0
LSQ14gie,2014/12/02,19.2,,04:08:22.05,-09:54:10.6,0.07,Ia,1.0,1.0,,,192.0,192.0
LSQ14mc,2014/01/29,19.2,,09:02:13.45,+17:03:37.1,0.057,Ia,1.0,1.0,,,62.0,62.0
LSQ14qz,2014/02/03,19.2,,12:02:45.83,-25:58:02.8,0.107,Ia,1.0,1.0,,,0.0,0.0
